sigla_uf,id_municipio,quantidade_bovinos_total
RO,1100015,319811
RO,1100023,317996
RO,1100031,113277
RO,1100049,312990
RO,1100056,109292
RO,1100064,225964
RO,1100072,311544
RO,1100080,204956
RO,1100098,310027
RO,1100106,63146
RO,1100114,439444
RO,1100122,305561
RO,1100130,228485
RO,1100148,175832
RO,1100155,271565
RO,1100189,161449
RO,1100205,448004
RO,1100254,230724
RO,1100262,93589
RO,1100288,190296
RO,1100296,117094
RO,1100304,98444
RO,1100320,183834
RO,1100338,300771
RO,1100346,182681
RO,1100379,139873
RO,1100403,194099
RO,1100452,318107
RO,1100502,106997
RO,1100601,207755
RO,1100700,303862
RO,1100809,100399
RO,1100908,61590
RO,1100924,318389
RO,1100940,146218
RO,1101005,227271
RO,1101104,56995
RO,1101203,97646
RO,1101302,85217
RO,1101401,181744
RO,1101435,118133
RO,1101450,125413
RO,1101468,103437
RO,1101476,71653
RO,1101484,63599
RO,1101492,279861
RO,1101500,135964
RO,1101559,78420
RO,1101609,220353
RO,1101708,128392
RO,1101757,122031
RO,1101807,116823
AC,1200013,125151
AC,1200054,28169
AC,1200104,142190
AC,1200138,148103
AC,1200179,119769
AC,1200203,30072
AC,1200252,91808
AC,1200302,89108
AC,1200328,6458
AC,1200336,12881
AC,1200344,27716
AC,1200351,10424
AC,1200385,171713
AC,1200393,7151
AC,1200401,290253
AC,1200427,15708
AC,1200435,7034
AC,1200450,193026
AC,1200500,176273
AC,1200609,115253
AC,1200708,150910
AC,1200807,180625
AM,1300029,300
AM,1300060,1236
AM,1300086,585
AM,1300102,899
AM,1300144,136801
AM,1300201,125
AM,1300300,42888
AM,1300409,0
AM,1300508,23593
AM,1300607,682
AM,1300631,2472
AM,1300680,20262
AM,1300706,202553
AM,1300805,3623
AM,1300839,828
AM,1300904,30985
AM,1301001,4760
AM,1301100,13008
AM,1301159,43764
AM,1301209,2267
AM,1301308,2316
AM,1301407,7739
AM,1301506,18797
AM,1301605,2346
AM,1301654,28027
AM,1301704,21841
AM,1301803,8303
AM,1301852,5172
AM,1301902,41272
AM,1301951,1306
AM,1302009,2865
AM,1302108,561
AM,1302207,944
AM,1302306,2331
AM,1302405,219429
AM,1302504,11298
AM,1302553,7805
AM,1302603,2171
AM,1302702,121840
AM,1302801,879
AM,1302900,19357
AM,1303007,27463
AM,1303106,5569
AM,1303205,297
AM,1303304,22492
AM,1303403,62231
AM,1303502,9491
AM,1303536,9300
AM,1303569,1834
AM,1303601,117
AM,1303700,969
AM,1303809,108
AM,1303908,228
AM,1303957,11791
AM,1304005,8111
AM,1304062,385
AM,1304104,2392
AM,1304203,1155
AM,1304237,938
AM,1304260,416
AM,1304302,15652
AM,1304401,13648
RR,1400027,97741
RR,1400050,68440
RR,1400100,21868
RR,1400159,55796
RR,1400175,53909
RR,1400209,30150
RR,1400233,56996
RR,1400282,40130
RR,1400308,84735
RR,1400407,14962
RR,1400456,20494
RR,1400472,55258
RR,1400506,28991
RR,1400605,35036
RR,1400704,16555
PA,1500107,8901
PA,1500131,33101
PA,1500206,9125
PA,1500305,1345
PA,1500347,447833
PA,1500404,151651
PA,1500503,10976
PA,1500602,719616
PA,1500701,68
PA,1500800,64
PA,1500859,187396
PA,1500909,6735
PA,1500958,67644
PA,1501006,30982
PA,1501105,33
PA,1501204,35306
PA,1501253,234943
PA,1501303,403
PA,1501402,0
PA,1501451,9926
PA,1501501,1752
PA,1501576,147902
PA,1501600,6945
